Task ID,Task Description,Deadline,Priority,Assigned User,User Workload,Category,deadline_days_remaining,task_length,has_keyword_urgent,is_weekend_deadline,category_encoded,status_encoded,priority_encoded,Cleaned_Description,priority_rank,New Assigned User
T0204,Resolve payment gateway timeout issue,2025-05-26,High,User_10,7,Testing,-56.0,5,0,0,5,1,0,resolv payment gateway timeout issu,0,User_8
T0238,Fix critical bug in deployment pipeline,2025-05-26,High,User_1,10,Design,-56.0,6,0,0,0,2,0,fix critic bug deploy pipelin,0,User_10
T0235,Restore database from backup,2025-05-26,High,User_9,5,DevOps,-56.0,4,0,0,1,0,0,restor databas backup,0,User_9
T0279,Deploy hotfix for customer complaints,2025-05-26,High,User_5,6,Development,-56.0,5,0,0,2,1,0,deploy hotfix custom complaint,0,User_8
T0246,Patch security vulnerability in auth system,2025-05-26,High,User_4,3,Testing,-56.0,6,0,0,5,0,0,patch secur vulner auth system,0,User_10
T0269,Fix critical bug in deployment pipeline,2025-05-26,High,User_10,1,Documentation,-56.0,6,0,0,3,0,0,fix critic bug deploy pipelin,0,User_6
T0288,Resolve payment gateway timeout issue,2025-05-26,High,User_5,4,Testing,-56.0,5,0,0,5,1,0,resolv payment gateway timeout issu,0,User_3
T0271,Patch security vulnerability in auth system,2025-05-26,High,User_7,1,Development,-56.0,6,0,0,2,2,0,patch secur vulner auth system,0,User_7
T0290,Restore database from backup,2025-05-27,High,User_9,9,Design,-55.0,4,0,0,0,2,0,restor databas backup,0,User_1
T0266,Patch security vulnerability in auth system,2025-05-27,High,User_6,5,Design,-55.0,6,0,0,0,0,0,patch secur vulner auth system,0,User_4
T0211,Patch security vulnerability in auth system,2025-05-27,High,User_3,2,Testing,-55.0,6,0,0,5,2,0,patch secur vulner auth system,0,User_3
T0209,Deploy hotfix for customer complaints,2025-05-27,High,User_6,9,Management,-55.0,5,0,0,4,0,0,deploy hotfix custom complaint,0,User_10
T0259,Patch security vulnerability in auth system,2025-05-27,High,User_3,4,DevOps,-55.0,6,0,0,1,1,0,patch secur vulner auth system,0,User_8
T0252,Restore database from backup,2025-05-27,High,User_5,9,Management,-55.0,4,0,0,4,0,0,restor databas backup,0,User_6
T0206,Deploy hotfix for customer complaints,2025-05-27,High,User_9,8,Documentation,-55.0,5,0,0,3,2,0,deploy hotfix custom complaint,0,User_5
T0230,Deploy hotfix for customer complaints,2025-05-28,High,User_5,2,Testing,-54.0,5,0,0,5,0,0,deploy hotfix custom complaint,0,User_2
T0278,Deploy hotfix for customer complaints,2025-05-28,High,User_7,7,Development,-54.0,5,0,0,2,0,0,deploy hotfix custom complaint,0,User_4
T0243,Resolve payment gateway timeout issue,2025-05-28,High,User_10,1,DevOps,-54.0,5,0,0,1,1,0,resolv payment gateway timeout issu,0,User_9
T0253,Patch security vulnerability in auth system,2025-05-28,High,User_1,4,Design,-54.0,6,0,0,0,0,0,patch secur vulner auth system,0,User_1
T0215,Restore database from backup,2025-05-28,High,User_9,2,Testing,-54.0,4,0,0,5,1,0,restor databas backup,0,User_7
T0293,Deploy hotfix for customer complaints,2025-05-29,High,User_9,1,Development,-53.0,5,0,0,2,1,0,deploy hotfix custom complaint,0,User_3
T0273,Deploy hotfix for customer complaints,2025-05-29,High,User_1,3,Design,-53.0,5,0,0,0,1,0,deploy hotfix custom complaint,0,User_9
T0265,Fix critical bug in deployment pipeline,2025-05-29,High,User_5,10,Development,-53.0,6,0,0,2,0,0,fix critic bug deploy pipelin,0,User_5
T0276,Deploy hotfix for customer complaints,2025-05-29,High,User_1,6,Development,-53.0,5,0,0,2,0,0,deploy hotfix custom complaint,0,User_1
T0218,Restore database from backup,2025-05-29,High,User_8,2,Design,-53.0,4,0,0,0,0,0,restor databas backup,0,User_4
T0212,Deploy hotfix for customer complaints,2025-05-30,High,User_6,3,DevOps,-52.0,5,0,0,1,2,0,deploy hotfix custom complaint,0,User_10
T0281,Resolve payment gateway timeout issue,2025-05-30,High,User_9,2,Management,-52.0,5,0,0,4,2,0,resolv payment gateway timeout issu,0,User_7
T0248,Resolve payment gateway timeout issue,2025-05-30,High,User_2,6,Documentation,-52.0,5,0,0,3,0,0,resolv payment gateway timeout issu,0,User_2
T0241,Resolve payment gateway timeout issue,2025-05-30,High,User_1,8,Development,-52.0,5,0,0,2,0,0,resolv payment gateway timeout issu,0,User_6
